prompt,actual_completion,finetune_completion,nshot_completion_curie,nshot_completion_davinci,Comment
"mrh aft scissors has side to side play           

###

"," removed, inspected, and reshimmed aft scissor bolt iaw 150-300.  area secure and fod free.  pema 6fksa76279.   <EOS>",inspected mrh aft scissor iaw 150-300. play is within limits. max limit is .008. area secure and fod free. pema: 6fksa76012.  ,inspeted mrh aft scissors side to side play iaw srm-000. installed new shims. installed safety wire on bolts. area secure and fod free at time of inspection. pema 76544 iaw:a1-h60ra-gai-000. , replaced aft scissors iaw 150-300. checks good. area secure and fod free at time of inspection. ,None
"black mrh blade lower tip cap screws worn. card abcd-17 step 1.2           

###

"," black mrh blade lower tip cap screws removed and replaced iaw 150-300. area secure and fod check complete. refer to jcn: qg0124192 for 9-13 tq checks on tip cap screws. **corection: trans code should be 12, action taken should be b and parts should be ind <EOS>",removed and replaced black mrh blade lower tip cap screws iaw 150-300.  area secure and no fod found at time of inspection.  pema s/n 6cksa67509  ,removed and replaced black mrh blade lower tip cap screws iaw srm-000. area secure and fod free at time of inspection.,removed and replaced black blade lower tip cap screws iaw a1-h60ra-150-300. all screws check good. area is secure and fod free at time of inspection.,None
"blue mrb damper leaking out of limits.           

###

", removed and replaced blue main rotor head damper iaw a1-h60ra-150-300. area secure and fod free.   <EOS>,removed and replaced blue main rotor damper iaw 150-300. area secure and fod free.  ,inspected and replaced blue mrb damper iaw 150-300. all checks good. area secure and fod free at the time of inspection.,removed and replaced blue mrb damper iaw 150-300. all checks good. area secure and fod free at the time of inspection.,None
"left hand nose landing gear tire worn. 

###

"," replaced left nose landing gear tire iaw sss 3240. ataf, apaf, aff. pema 06760 utilized. <EOS>",replaced lh nlg tire iaw sss 3240. ataf apaf aff. used pema 76594.,iaw s/n 2120 removed and replaced left hand nose landing gear tire iaw 255-10-100. area secure and fod free at time of inspection.,removed and replaced left hand nose landing gear tire iaw sss 3240. ataf apaf aff.,None
"scir change:  16pmgg9.  yellow blade tip cap screws worn. 

###

", removed and replaced yellow bladetip cap screws iaw 150-300.  area fod free and secure. <EOS>,removed and replased all tip cap screws iaw 150-300. refer to jcn: pq4186avis for tip cap installation on yellow blade. area clean and fod free.,replaced screws iaw a1-h60ra-140-300. all checks good. area secure and fod free at time of inspection.,replaced yellow blade tip cap screws iaw a1-h60ra-150-300. all checks good. area secure and fod free at time of inspection.,None
"right and left nose landing gear tires require pressure.           

###

", serviced nose landing gear tires to 260 psi. used pema 67330. ataf. apaf. aff.   <EOS>,serviced nlg tires to 260 psi. used pema 67330. ataf. apaf. aff.  ,verified right and left nose landing gear tires with applicator and found that they require air pressure. applied air at 50 psi to both tires. area is secure and fod free.,"check pressures iaw aa-h60ra-1. left: 32 psi, right: 30 psi.",Additional information
"mrh accumulator fluid level is in red           

###

"," serviced mrh accumulator to 1400 psi, 2nd green iaw a1-h60a-gai-000. oat 28 degrees celcius. a/h: 1114.8. area secure and fod free.   <EOS>","serviced mrh accumulator iaw gai-000. hyds: high green, n2: 1400 psi, and oat 22 degrees celcius. a/c hours of 3,103.1. checks good at current temp. area secure and fod free at the time of completion.  ","serviced mrh accumulator using hsu 257 navy class 2 iaw a1-h60ra-gai-000. hydraulic side in the high green. nitrogen side: 1600 psi. ambient air temp: 19 degrees celcius. a/c time now 2847.5 all checks good, area secure and fod free at time of completion.",serviced main rotor head accumulator low per bdu iaw gai-000. oat: 28* c a/c hrs: 3695.2 navy class 2 area secure and fod free at time of completion.,None
"lower centering socket on black blade safety wire installed incorrectly. 

###

", inspected and replaced safety wire on black lower centering socket iaw 150-300. fod check complete area secured at time of inspection. <EOS>,removed and replaced lower centering socket on black blade saftey wire iaw 150-300. area fod free and secured.,replaced lower centering socket iaw: 238-0001. area is secure and fod free.,corrected lower centering socket installation iaw a1-h60ra-150-300. all checks good. area secure and fod free at time of inspection.,Safety wire' info not covered
"main rotor head ool           

###

"," removed main rotor head weights, adjusted red, yellow and blue centering sockets. checked lead stop, anti-flap and scissor gaps, within limits iaw 150-300 and vib-200. area secure and fod free.   <EOS>",utilized pcr adjustments to bring out vibrations in limits iaw vib-200. adjusted red +2 clicks and black -3 clicks. area secure and fod free at time of inspection.  ,inspected main rotor head and found evidence of oil leakage iaw a1-h60ra-gai-000. applied hysol to areas of concern. area is secure and fod free.,added oil to main rotor head iaw a1-h60ra-gai-000. area is clean and free of fod.,
"bare metal on black spindle lower weight bracket 

###

"," cleaned, treated, and painted black spindle lower weight bracket  iaw 01-1a-509-2. area secure and fod free. pema s/n: 5lksa54016. <EOS>","cleaned, treated, and painted black spindle lower weight bracket iaw 01-1a-509-2.  area secure and fod free.  pema s/n:  5lksa54016.","iaw 150-300, removed and replaced bare metal on black spindle iaw b246-00021. area secure and fod free.",None,No predictions for Davinci
