,DISCREPANCY
1644,mrh hyd level in the red.          
24151,"remove tail rotor pitch beam due to tail rotor servo replacement, re-install when notified by maintenance control.          "
24014,mrh accumulator low          
18549,main rotor head grounds are out of limit.          
1598,blue blade cuff to spar bolts have bare metal.          
8698,yellow spindle bolt washer is damaged          
2122,nlg up and lock sw 1 (abiu) posted on download          
15875,"trim tab setting was altered while removing yellow blade restraints  due to accidental contact with tgb fairing. the last setting for the blade was:  0.312, 0.312, 0.311, 0.309, 0.311, 0.309 and the current setting after  alteration  0.308, 0.307, 0.306,0"
11605,tail gear box oil level low.
22918,black main rotor blade has sever surface corrosion in multiple areas on top and bottom of blade.  marked with black grease pencil  ccdd:19268.
26444,red blade pitch lock switch found crushed.          
690,rh nlg tire worn beyond limitations
6313,yellow inboard and outboard damper bearing ool. mrc-400 card 112.2          
23072,install blue blade w/n/b/mc
6501,remove beanie to fom mrh rig.  re-install when notified.          
2702,mrh accumulator not holding hydraulic pressure.          
6995,mrh accumulator is low on hydraulics
1026,yellow blade improperly safety wired. improper safety wires have been cut.
2551,scir change:  2e4fses.  black pitch lock motor will not extend nor retract.          
22648,blue blade deice has bent connector shell.
23320,upper lock pin seized on red blade          
27377,all main rotor bifilar washers worn iaw abcd card 23.2.
21885,remove yellow blade due to replacement of yellow blade fold motor. reinstall when directed by phase supervisor.          
21464,abcd-23.5 aft scissor worn ool          
15296,remove red m/r tip cap for phase maintenance. reinstall when complete          
21274,"abnormal vibrations during vh flight checks.  as airspeed increased above 140 kias, the aircraft started a counter-clockwise lateral vibration which felt like a washing machine effect.  vibration washed out as a/c slowed.  vibration did not duplicate thro"
1202,mrh accum fluid low refer to jcn: q70256294 for conditional inspection          
1802,swashplate accelerometer wire broken          
14453,mrh accumulator low          
7751,main rotor head low.          
17383,tear on black tail rotor boot.          
23567,red/yellow tail rotor paddle spar center plug is beyond repairable limits iaw srm-000. ac-70.2          
4357,lh main landing gear door strut assembly free spinning.
733,rh ob main landing gear break assembly pistons are contacting first carbon plate (min distance .01 in)
24236,all four tapered washers on the red bifialr absorber are out of limits iaw abcd card 23.2.
2665,extra zip tie on yellow spindle teflon.          
23214,red pitch lock housing s/w backwards and loose.          
19132,centering socket hardware corroded ool          
14050,red droop stop  heater and pin  assy threads damaged          
26107,blue blade tip cap composite disbonding and metal fabric exposed ool iaw:a1-h60ra-srm-000.card bd-95.1 step 2.2
18524,blue inboard damper bearing out of limits.          
4854,outboard retention plate worn ool cards: ac-70.2
4263,all tail rotor pcl cotter keys worn.  card ac-70.2          
18828,inboard damper bearing out of limits on blue blade          
11215,tap sheared in anchor nut on blue blade doubler assy.
14586,mrh hyd low          
7945,remove and replace component nomenclature main rotor blade assy;  part no: 70150-29100-041;  serno: a237-01921;  pos cd: blue dd: 11846.0
11766,outboard retention plate bushing out of limmits.          
9570,mrh low. mrc-100 step 47.1.          
23628,fwd scissor has a bushing that is ool.          
5983,tail rotor vibrations out of limits.          
4212,all six tires are under serviced          
22748,tail rotor magnetic pickup to striker gap is ool.          
12319,"upon inspection, found 4 worn black blade tip cap screws.  mrc-400 card bd-95.          "
4542,loose safety wire on the blue lower centering socket
24303,blue blade does not fold.          
10540,m.r.h. low          
25265,fwd swashplate sissor bearing worn.          
19819,blue damper outboard bearing nylon is worn.          
24915,scir change:  16pm76x.  yellow outboard damper bearing worn out of limits.          
4608,lh nose landing gear tire worn.          
10188,black hinge balance weight bolts failed torque check.
4654,perform tail rotor bias check due to phase. make cf req if adjustments are made.          
19612,mrh head low          
3646,remove and replace rh outboard main landing gear wheel/tire assembly.   ***update***  rh inboard
8377,main rotor damper accumulator low
4335,original:  1mpm7ic.  cannibalized item: pneumatic reservoir module (ddsn: 7348gf10) for modex 11 original mcn: 1mpm7ho          
11485,blue trb boot ripped          
7830,one bolt on red damper bracket failed toqrue check at 214 inch pound. card bd-87.2
5136,cannibalized item: left co-pilot brake master cylinder (ddsn: 9129gz32) for modex 03 original mcn: 4dnq13x          
7028,the mrh hydraulic accumulator reads red
8391,strip area marked by w/c 110 on yellow bifilar to prepare for bifilar bushing p&e repair.
1524,lh nlg tire is worn          
4646,nose landing gear tire wear out of limits
461,l/h nlg tire found worn beyond limits          
3941,mrh accumulator low          
3057,remove main rotor head accumulator and reinstall when notified by maintenance control          
24353,black upper and lower centering sockets have broken safety wire. a1-h60ca-mrc-300 card 24.2.          
22742,2 blade fold brackets on black spindle are broken          
7773,"scir change:  00jfe4s.  blue blade lock pin pullers do not move automatically or with box. all other blades fold normally. blades lock pin pullers retract/spread normally as well but pitch locks do not retract/spread automatically. no ""b"" switch is actuat"
2424,right main landing gear strut leaking nitrogen.  when serviced it leaks down to less than 1 inch showing on the strut in 24 hours.          
12086,mrh hydraulic servicing low.          
2591,remove and reinstall yellow mrb to facilitate removal of yellow blade fold motor          
2196,black outboard damper bearing out of limits          
16250,mrh accumulator hyds low
4150,found lh ob main landing gear tire worn out of limits 4/32 cut iaw 04-10-506
324,both nose landing gear tires worn showing threads in valleys and treads****update**** rh nlg tire. refer to mcn 1p1 njm7 jcn gh4099296 for lh nlg tire corrective action.          
7347,replace blue main rotor pitch horn assy as part of a matched set with mrh spindle.
21134,yellow blade damper leaking hyd fluid          
2834,left hand main landing gear tire pressures low on both tires.          
8352,yellow main rotor damper assy worn beyond limits. refer to mcn: 26xj4wt for 9-13 tq check.
