,CORRECTIVE ACTION
1644,"serviced mrh accum to 1675 psi, high green, oat: 22*c iaw gai-000. current a/c hours: 1,316.200. inspected all dampers for leak. checks good area fod free and secure.  "
24151, re- installed tr pitch beam iaw 150-300. area fod free and secure. pema:3  refer to inprocess for removal and refer to mcn: 00jf880 for 9-13 on otbd pcl nuts and mcn: 00jf84y for 9-13 on tr pbr nut. tq wrench s/n: 161212866  
24014,serviced mrh accumulator iaw gai-000. area is secure and fod free. pema 7iksa26154. temp: 16c 1450psi hyd 2nd green. a/c time: 2000.6  
18549,added 19 grams to blue main rotor blade iaw a1-h60rs-vib-200. all checks good. area fod free and secure at time of inspection.  
1598,cleaned and painted blue blade cuff to spar bolts iaw: 01-1a-509-2. refer to mcn: 1h092gn for conditional inspection. area secure and fod free.  
8698,replaced washer for yellow spindle and installed iaw 150-300. area secure and fod free. tq wrench s/n:0413504648  
2122,nlg up and lock sw 1 did not post in flight and nlg worked properly in flight poc. ltcol walker  
15875,refer to mcn: 26xiaqr jcn: qy0031423 for initial ground turn iaw a1-h60rs-vib-200. area secure and fod free at the time of inspection.  
11605,serviced tgb with 5 oz of dod-prf-85734 iaw gai-010. area secure and fod free. ataf.
22918,"removed severe surface corrosion, cleaned and painted black main rotor blade in multiple areas on top and bottom of blade iaw na01-1a-509. checks good for security and area fod free at the time of inspection."
26444,removed and replaced red blade fold harness iaw 150-300. system ops check good iaw 150-200. area clean and fod free. ietms s/n 8hkka52787.  
690,"removed and replaced nlg tire iaw sss3240, apaf ataf aff."
6313,removed and replaced yellow inboard and outboard damper  beariings iaw 150-300. checks good. area fod free and secure.  
23072,installed blue blade iaw 150-300.  area secure and fod free.
6501,removed and reinstalled mrh distributor cap in accordance with 410-300. checks good for security in accordance with 410-200. area secure and fod free at time of inspection. s/n: b1035-00020.  
2702,"performed full bleed and service of mrh accumulator and dampers iaw a1-h60ra-gai-000 and monitored from 1030 to 1330, accumulator is holding pressure properly.  nitrogen: 1400 psi, hydraulic:  3/4 into 2nd green, oat: 19 degrees celcius, a/c time: 1893.7."
6995,"serviced main rotor head accumulator with mil-prf-83282 using hsu s/n: 270 navy class 1. hydraulics:mid high green; nitrogen:1600psi; oat:28 c; iaw a1-h60ra-gai-000. a/c time: 3838.1. area secure, clean and fod free at time of inspection."
1026,re-safety wired yellow main rotor head blade iaw a1-h60ra-150-300. area is secure and fod free. pema 8884
2551,removed and replaced pitch lock motor iaw 150-300.  op checks good iaw 150-200.  area secure and fod free.  
22648,removed and replaced blue blade deice harness iaw a1-h60ra-150-300. refer to jcn: qv0239a00 for installation. area secure and fod free at time of inspection.
23320,removed and replaced red upper lock pin iaw 150-300. area clean and fod free at time of inspection.  
27377,removed and replaced all main rotor bifilar washers iaw 150-300. area secure and fod free.
21885,"removed and reinstalled yellow blade iaw: a1-h60ra-150-300. tq wrench s/n: 0708402793, s/n: 0413504648, and s/n: 0808001166 used. area secured and fod free.  "
21464,removed and replace aft scissor iaw 150-300.  area secure and no fod found at time of inspection.  pema s/n 6cksa67509  
15296,"removed and reinstalled tip caps iaw a1-h60ra-150-300 wp-28 refer to jcn:wa7347a00 for installation ips, refer ti jcn: wa7002527 for 9-13hr tq cks. pema 49.  "
21274,"bled and serviced main rotor head accumulator to 1600 psi and yellow hydraulic side iaw a1-h60ra-gai-000. ambient temperature was at 18 degrees celsius. acft time now is 2536.3. checks good, area secure and fod check completed. pema s/n: 76896.  "
1202,"serviced mrh accumulator iaw gai-000. hyd: yellow ; nit: 1600psi ; oats 24c; acft hours 2,615.6. hrs flown: 8.3, refer to jcn: q70256294 for conditional inspection. hyd sample navy class 0. pods s/n: 00183. area fod free and secure.  "
1802,repaired broken swashplate accelerometer wire iaw wcr-000. area secure and fod free.  
14453,serviced mrh accumulator iaw a1-h60ra-gai-000. hyd second green. psi 1650. 27c. a/c hours 2219.3.  area clean and free of fod. pema 6667  
7751,serviced mrh accumulator to hyd: mid high green and n2: 1500 psi iaw gai-000. oat: 20 degrees cel. current a/c hours: 4421.6 area secure and fod free at time of inspection.  
17383,removed and replaced black tr boot iaw 150-300. area secure and fod free at time of inspection. refer to mcn: 16plxas for 9-13 tq check.  a/c now 643.9  
23567,"replaced and installed red/yellow tail rotor paddle iaw 150-300. area secure and fod free. pema s/n: 6cksa67509. refer to jcn: by0168299 for pbr nut 9-13, by0168301 for outboard retention plate 9-13, and by0168302 for pcl 9-13 hour torque checks.  "
4357,"tightened loose hw, no adjustments needed checks good ataf apaf aff pema 9997 sss3210"
733,"removed and replaced main landing gear break assembly iaw 3240. pulled hyd sample from system 3. ran sample via pods iaw navair 01-1a-17, sample ran navy class 5."
24236,removed and replaced all four tapered washers on the red bifilar abosrber iaw a1-h60ra-150-300. pema used s/n: 3106. area secured and no fod found and the time of maintenance. . ***** correction ****** trans code should read 12; parts should be failed. **
2665,verified zip tie was extra and removed iaw 150-300. all pieces accounted for. area secure and fod free at time of inspection. used pema 5.  
23214,safety wired red pitch lock housing iaw a1-h60ra-150-300. area fod free and secure.  
19132,removed and replaced corroded centering socket hardware iaw 150-300.  area secure and no fod found at time of inspection.  pema s/n: 6cksa67610  
14050,removed and replaced red heater pin iaw a1-h60ra-150-300. area fod free and secure at time of inspection.  
26107,removed and replaced blue blade tip cap iaw: a1-h60ra-150-300. area secure and fod free at time of inspection
18524,removed and replaced blue inboard damper bearing iaw 150-300. a/c time now: 2232.6. refer to mcn: 1gthrmo for 9-13 torque checks and mcn: 1gterna for teflon sealant. area secure and fod free.  
4854,removed and replaced outboard retention plate iaw 150-300. area secure and fod free.
4263,removed and replaced all tail rotor pcl cotter keys iaw a1-h60ra-150-300. area secure and fod checks complete.  
18828,removed and replaced bearings on blue blade damper iaw 150-300. damper installed back on aircraft. refer to mcn 2e4fv1s for mrh servicing. area clean and fod free.  
11215,removed tap and cleaned out anchor nut from blue blade doubler assembly iaw a1-h60ra-srm-000. refer to mcn: 1v4ztis for installation of tip cap. area secure and fod free at time of completion.
14586,"serviced mrh hydraulic fluid iaw gai-000.  hyds: low green, nitro: 1500 psi, oats: 24c, a/c time now: 2408.8 flt hrs, navy class: 0.  area secure and fod free.  "
7945,removed and replaced blue main rotor blade iaw a1-h60ra-150-300. all checks good. area secure and fod free. pema s/n: 76532.
11766,removed and replaced outboard retention plate iaw 150-300. area fod free and secure.  
9570,"serviced mrh accumulator to yellow, 1550 psi (oat 20) iaw gai-000. using hsu 204 (navy class 0) and n2 wab m00334. a/c time last serviced : 3525.6 a/c time now : 3560.6. checks good. area fod free and secure.  "
23628,removed and replace fwd scissor iaw a1-h60ra-150-300.  scissor sn:a421-03939. t.q. wrench sn:1218112382. area secured and fod free at time of inspection.  
5983,installed 107 grams to quadrant 1 and 12 grams to quadrant 4 iaw: vib-200. area secured and fod free at time of inspection.  
4212,serviced all 6 tires iaw sss 1210. ataf. apaf. aff. pema 67330  
22748,adjusted tail rotor magnetic pickup iaw: a1-h60ra-260-300. area secure and fod free at time of inspection.  
12319,removed and replaced worn tip cap screws on the black tip cap iaw 150-300.  all checks good.  area secure and fod free at time of  inspection *** refer to jcn q20270686 for 9-13 torque check maf  
4542,removed and replaced safety wire on blue lower centering socket iaw 150-300. area secure and fod free at time of inspection.
24303,"removed and replaced blue blade fold motor iaw a1-h60ra-150-300. refer to jcn: q40149434 for blue blade re-installation and jcn: q40151499 for harness re-installation, pitch beam puller dogbone adjustment and a&b switch adjustments and jcn: q40151504 for "
10540,serviced mrh accumulator to 1500psi high green using walkaround bottle s/n:139 and hfsu s/n:272 iaw a1-h60ra-gai-010. outside air temperature reads 20  celcius. a/c time 2163.3. area secure and fod check complete.  
25265,removed and replaced fwd swashplate sissor iaw 150-300.  
19819,replaced blue damper outboard bearing iaw 150-300. a/c time:425.7 hours. refer to mcn:1n3nlve for 9-13 hours torque checks. area secure and fod free  
24915,"removed and replaced blue outoard damper bearing iaw 150-300. reinstalled blue damper iaw 150-300. serviced mrh accumulator to low green and 1500 psi iaw gai-000. oat 23 degrees c, a/c time is 1705.7.  area secure and fod free at time of inspection. maf s"
4608,r&r lh nlg tire iaw sss 3240. ataf apaf aff. pema-03 was used  
10188,torqued black hinge balanced weight bolts to 135 inch pounds iaw 150-300 wp 009. refer to mcn: 1gtit8r for new 9- 13 torque check.  aircraft time now is 2786.0. area secure and fod free.
4654,"perform tail rotor bias check due to phase iaw a1-h60ra-140-300. red: 3.0, blue: 3.0, yellow: 3.0, and black: 2.9 all angles within limits. area secure and fod free.  "
19612,"inspected mrh accum iaw a1-h60ra-gai-000. accum checks good, no servicing required. area secure and fod free.  "
3646,"removed and replaced rh inboard main landing gear wheel/tire assembly iaw sss:3240. s/n:6272,6215,0444."
8377,"suspected air in system. performed bleed and service of main rotor head accumulator iaw: a1-h60ra-gai-000. serviced accumulator to high green. nitrogen is at 1550 psi. oat is 27 degrees celcius. aircraft hours now: 1,181.8. area fod free and secure at tim"
4335,pnuematic reservoir module replaced iaw ietms sss: 3231. refer to mcn: 4eb19xs for ops check. ataff apaf. pema 13783. ***correction**** refer mcn 4eb1a51 for installation of required panels  
11485,removed and replaced of blue tail rotor boot iaw a1-h60ra-150-300. witnessed torque of nuts to 160 in lbs. area secure and fod free. refer to jcn: qv0100027 for 9-13 torque checks on inboard pcl hardware.  
7830,torque stablization check on red damper bracket to 225 inch pound iaw a1-h60ra-150-300. refer to jcn : q60275470 for 9-13 checks. area secure and fod free.
5136,"removed and installed left co-pilot brake master cylinder iaw sss 3240 for samples refer to 4dnq1qf. refer to mcn 4dnq1qf for fod free and tq of panels 1ls1, 1ls6, and 1ls7.  "
7028,"serviced mrh accumulator to upper green iaw gai-000. nitrogen pressure 1500 psi, temp 19 degrees celicus. area secure and free of fod at time of completion."
8391,stripped area marked by w/c 110 on yellow bifilar to prepare for bifilar bushing p&e repair iaw na-01-1a-509. area fod free and secure.
1524,lh nlg tire peplaced iaw sss3240. ataf apaf. aff.  
4646,replaced nlg tire iaw sss 3240. used pema 67332. ataf apaf aff.
461,removed and replaced r/h nlg tire iaw sss: 3240. ataf apaf aff.  
3941,"serviced mrh accu iaw gai-000. hyds: bottom 2nd green, nitro: 1500 psi, oat: 24c, ac hrs: 756.400. area fod free and secure. pema 7574.  "
3057,"removed and reinstalled main rotor head accumulator iaw 150-300. full bleed and serviced mrh accum to 1550 psi on nitrogen side, yellow on hydraulic side wth the oat at 12* c iaw gai-000. current a/c hours 1383.5. inspected all dampers for  leak. checks g"
24353,verified torque on black upper and lower centering socket iaw 150-300. torque checks good. safety wired hardware iaw a1-h60ra-150-300. area secure and fod free at the time of inspection.  
22742,"removed and replaced 2  blade fold brackets on black spindle iaw 150-300, area secure and fod check complete.  "
7773,removed and replaced blue #2 position blade fold motor iaw a1-h60ra-150-300. area secured and fod check complete. ietm serial # 7jksa27831. ***reffer to mcn 00jfytv blade fold in op and mcn 00jfykv for adjusting blue blade a and b switches.***
2424,removed and replaced rh mlg strut lower charging valve iaw sss3210 ataf apaf aff  
12086,"performed bleed and service on main rotorhead accumulator in accordance with a1-h60ra-gai-000. accumulator is at bottom of second green and 1650psi. ambient air temperature; 84 degrees f. current a/c hours; 1504.7. area clean, secure, and fod free. pema s"
2591,removed and re-installed yellow blade iaw a1-h60ra-150-300.  verified tq and safety wire of bolts iaw a1-h60ra-150-300.  area secure and fod free.  pema: 8649.  
2196,replaced outboard black mrh damper bearing iaw a1-h60ra-150-300. area secure and fod free at time of inspection.  
16250,serviced mrh iaw gai-000. n2:1650 psi hyd:2nd green @ 30¿ c. a/c time now: 3165.2. area secure and fod free. pema sn: 67509
4150,"removed and replaced lh ob tire iaw sss 3240. ataf, apaf, aff."
324,replaced rh nose landing gear tire iaw sss 3240 ataf apaf aff  
7347,removed and replaced blue mr pitch horn assy iaw 150-300. s/n: f227-04908.   refer to jcn: q60259a00  for installation of spindle.   area secure and fod free.
21134,inspected yellow damper leakage iaw 150-300. leak is within 5 drop per min limitation. checks good. area fod free and secure.  
2834,"serviced left hand main landing gear tires iaw sss 1210. ataf,apaf,aff.  "
8352,removed and replaced yellow main rotor damper assy iaw a1-h60r-150-300. all checks good. area secure and fod free at time of completion.
12136,removed and replaced main rotor damper iaw 150-300. area secure and fod free at time of inspection. pema s/n 6fksa75963.  
1674," removed and replaced rh inboard mlg tire iaw sss 3240. apaf, ataf, aff.  "
16290,repaired puncture on blue tail rotor  boot  iaw: a1-h60ra-150-300. pema: 48100. area secure and fod free.
4071,replaced rh mlg ib tire iaw sss 3240. pema 2000. ataf apaf aff.  
1865,added 165 grams to quadrant 3 and 108 grams to quadrant 4 iaw vib-200. ataf and area clean and fod free.  
26097,inspected and measured fwd scissor side to side play iaw 150-300. fwd scissor side to side play measured at 0.003. limit is 0.008. all checks good. area secure and fod free. pema 6fksa76289.  
18712,removed and replaced red blade fold actuator iaw a1-h60ra-150-300. area secured and fod free at time of inspection  
1117,serviced the lh/rh nlg tires and the lh and rh mlg tires iaw sss 1210. ataf. apaf. aff.  
3669,serviced main rotor head accumulator iaw a1-h60ra-gai-000.  a/c flight hours 1379.9.  ambient temperature 21c.  nitrogen 1600.  hydraulics second green.  pema s/n 2922.  area secure and fod free.  
13175,installed aft scissors spherical bearing cotter key iaw 150-300. area secure and fod free at time of inspection.  verified torque of lower link nut at 68 ftlbs iaw 150-300 wp 12.  
23941,serviced mrh iaw gai-000. hyd: first green nitr: 1500 oat: 14c. pema s/n used 7545. area secured and fod free at time of inspection.  
16727,replaced centering socket hardware refer to mcn: 2e4h56x (phase d) for installation iaw mrc-400. area secure and fod free.
7953,made adjustments to main rotor head pitch control rods iaw:  a1-h60rs-vib-200.  red pcr down 4 clicks and black pcr up 3 clicks.  area secure and fod free.  pema s/n:  6791.
13306,"teflon sleeve secured with ziptie, not a fod hazard. tightened zipties iaw a1-h60ra-150-300. area is secured and fod free at time of inspection.  "
6783,blue main rotor blade tip cap delaminated refer to jcn:  q60259a30  for removal and replacement of tip cap and all tip cap screws. bd-95.
8840,"adjusted all four main rotor pcr's 32 clicks negative to bring percentile 8% up from 107% to target 115%, iaw vib-200.  area secure and fod free."
16306,removed and replaced hub liners iaw 150-300 wp 004. area secure and fod free. ***correction: trans code is 12***
11837,removed and replaced worn inboard teflon washer on black damper iaw 150-300. area secure and fod free.  
