,DISCREPANCY
2266,rh nose landing gear tire has multiple cuts exceeding the 4/32 cut limit          
8993,mrh accumulator low
5059,hole in yellow tail rotor boot. mrc-300 card 11.12
4936,ib hydraulic hose for lh mlg brake pressure has sleeving that is worn.
3846,mrh fluid level is low          
13233,main rotor head low          
12603,mrh hydraulic fluid low. at white line in between green and red.          
23430,upper scissor bolt shims worn mrc-400 card 23.5          
20818,scir change:  1gtenqw.  no spread light          
268,right hand nose landing gear tire pressure low.
4445,lh nlg tire worn beyond limits          
10974,mrh accumulator hydraulic gauge bad.          
459,verify tail rotor mag pick up gap.          
5838,missing tail abrasion strip red paddle. refer t jcn:q20280201 for fod search.          
348,lh outboard mlg tire flat and out of limits.
3586,"lh nlg tire assy worn beyond limitations, cut in the sidewall measures 1/4''.          "
10812,bifilar between black and yellow spindle (closest to black spindle) has a bifilar bushing cracked.          
23264,tail rotor bias out of limits.          
13222,main rotor damper outboard bleed plug is stripped. (black)          
26009,loose tail paddle boot red          
8364,mrh accumulator fluid low
12356,broken torque stripe on yellow mrh spindle cam follower nut          
5002,right hand main landing gear door strut assy is worn and needs to be replaced ** left hand**
2771,teflon liner on red spindle droop stop ring is worn out causing metal to metal contact between droop stop ring and support.          
8195,severe galvanic corrosion on 2 rivets of red trb tip cap.
27208,scir change:  1v4zvw7.  minor surface corrosion on red blade fold motor nut; needs sealant.
14492,scir change:  16pmnef.  ccdd: 25nov19 yellow blade lockpin puller dogbone worn sealant
18641,main rotor head accumulator low.          
18876,main rotor head low          
27318,remove red main rotor blade tip cap.
24943,remove and reinstall all blades. reinstall when notified by maint control.          
3015,l wow switch 1 f(p) when aircraft would go weight off wheels. posted 5 times.          
19460,main rotor head accumulator low.
27091,red pitch horn adel clamp bracket h/w corroded
4521,black bim indicator stays black upon testing          
1974,"both nlg, lh ob and rh ib mlg tire pressure low."
4050,main rotor head final grounds ool.          
4892,minor corrosion on lh mlg and brake assy hardware.
14326,scir change:  16pmnee.  ccdd:25nov19 blue blade lockpin puller dogbone worn sealant
9007,fwd scissors assy has up and down play.
9206,remove tail rotor paddles iaw applicable mims for inboard retention plate torque check.  r/w/d/b/m/c.          
12005,red damper elbow misaligned. (no leakage/no evidence of broken torque)          
25213,tail rotor vibrations out of limits          
21009,delamination/bond separation in critical tip block area affecting structural integrity of blue mrb.          
10140,red damper inboard spherical bearing worn more than 0.010 limit.
4358,scir change:  2366o97.  scir change:  2366nui.  left brakes are weak and grind when actuated.          
714,scir change:  1v4zvw5.  minor surface corrosion on blue spindle anti-flap bolt; needs sealant.
6969,black tail rotor blade tip cap cracked.
24365,red outbrd pcl failed 9-13 tq check          
7495,trb red boot has a hole marked location on boot card 11.13 daily          
25908,worn upper blue pcr bolt
21765,gbc 280 present fwd linear bladefold transducer bad          
16583,blue pitch lock housing saftey wire incorrect.
3175,all six tires have low air pressure.          
14003,small hole in black tail rotor boot.          
17749,mrh accumulator hyd low          
10930,mrh aft scissors have side to side play.          
13201,remove  fwd scissor  to facilitate the removal of main rotor head for  swashplate removal and replacement re-install fwd scissor when notified by maintenance control.
2549,mrh hyd low - touching white on low green side          
3075,mrh accum hydraulic side is low with indicator on the line at red. card 47.1          
548,"red, yellow, and black tail rotor pcl attaching bolts have washers installed incorrectly on bolt head side.          "
4853,emergency landing gear blow down bottle under serviced
18982,main rotor vibes out of limits.
23268,"red main rotor blade corroded: weight block in several spots, corrosion on blade surface at the bottom trainling edge and tip cap mount flange corroded card bd-95.1 step 2.4 / 2.5"
23821,aft scissor hardware worn.
21350,blade fold inop.
858,both left and right brakes are extreamely soft. brakes won't hold plane at 60 nacelle angle when proprotors are spinning.*** while bleeding brakes found brake bleed valve packings worn***          
8859,mrh hydraulic side low
3444,rh nlg tire is worn          
9897,outbord black damper bearing worn beyond limits          
16969,install red main rotor blade for pmi restore.          
19694,main rotor head accumulator hydraullic pressure gauge line worn out of limits.          
14298,safety wire broken on lock pin puller (yellow blade)          
2864,cannibalized item: main rotor accumulator assy (ddsn: 8010gc51) for modex 702 original mcn: 1wda0x0          
20970,red tail paddle pcl out of limits and needs to be adjusted.
23163,fwd rivet on red tail paddle tip cap corroded
6199,grinding noise and visible vibrations originating from black blade spindle while cycling flight controls.          
6437,tail rotor is out of limits          
24232,mrh accumulator low.          
257,right hand nose landing gear tire is worn          
12839,"da over serviced ***update***da is bad, fluid is coming out of nitrogen port on hydraulic side.          "
24235,black lower centering socket loose          
4118,rh nlg tire worn beyond limits due to lh nlg tire being replaced.          
302,main rotor accumulator low          
13941,low mrh accumulaotr hydraulic fluid.          
25869,aft scissors spherical bearing worn ool
3943,landing gear fault posted airborne after putting gear down on final landing to miramar. indicated 3 down and locked with no other unsafe indications. landing gear isolation valve f(p) on maint flight summary. nothing posted on pres sys stat. executed no h
26240,service mrh accumulator          
10467,mrh low          
18871,main rotor head accumulator nitrogen side low at 1350 psi.          
21576,damper bolt worn ool. (b-101.1)          
19168,outbd retention plate is gouged out of limits the limit is .100 and it is at .231 card number 70.1          
19890,mrh accum low          
9517,tail rotor vibes ool.          
771,remove and replace the nose landing gear drag strut in order to incorporate afc 185.          
11034,aft mr scissor spherical bearing worn ool.          
17675,remove red main rotor blade tip cap assy as match set with main rotor blade.          
23833,main rotor head fluid level low          
12006,missing safety wire on black droop stop heater pin.          
22347,mrh hyd lvl red          
8208,worn droop stop on blue main rotor blade. mrc-400 card d-121.2
27654,remove {red} mrb assy s/n:a237-00876 for level iii preservation. install when notified by maintenance control.
917,inboard tip cap delaminating on blue paddle.          
8877,black mrb bim indicator is leaking.          
9973,tail vibes out of limits
14222,install number 6 lower tip cap screws
11364,yellow inboard damper ool.
1819,blue tail rootor boot has a hole          
7152,black tail rotor paddle has loose ziptie
5632,remove blue main rotor blade to be replaced with yellow main rotor blade.
10599,black t/r blade boot cut torn.          
6281,mrh accumulator reads red.          
2843,left hand/right hand main landing gear inboard and outboard tire and left and right nose landing gear tire pressures low.          
5938,aft scissor ball bearing worn.          
4498,rh nlg tire worn beyond limits.          
128,blue pitchlock actuator will not drive out.          
11540,blue tail rotor blade seal boot has a hole in it.          
9674,main rotor head low.          
3672,left hand nose landing gear tire worn          
413,red spindle elastomeric bearing is worn out of limits.          
15143,main rotor head accumulator fluid low.          
820,mrh accumulator hyd side is low.          
16253,black journal bearing out of limits.  d-121          
482,nose landing gear bellcrank assembly broken.          
10673,corrosion on t/r pitch beam bushings. none allowed. mrc-400 card ac-70          
9073,yellow pcr torque stripe worn          
4082,yellow blade fold harness does not power blade fold motor. troubleshot iaw 560-200. yellow blade fold harness needs to be replaced.          
13897,main rotor head low          
540,blue main rotor damper hydraulic line chafed down to the metal braid          
4226,rh/lh nlg low tire pressure          
1869,mrh low          
4863,exterior landing gear down light is f(p) and light won't illuminate.          
4631,mrh accumulator  low
25411,tr bias ool          
15244,fwd scissor on main rotor head has up and down play.          
16637,tail vibes ool
12473,main rotor head over serviced
15959,perform card abcd-30-30.1 post phase vibration analysis and data review          
17311,yellow blade disbonding of nickel abrasion strip.on under side of blade.          
20638,the mrh hyd accumulator reads red          
11587,yellow blade has tip cap frame spliting due to severe expoliation.          
3779,lh nlg tire is worn beyond limits
21093,yellow damper is leaking          
22435,mrh accumulator low (hyd)          
6029,blue lower centering socket still loose.          
23953,mrh accumulator low          
22450,black reduction gear housing seized card d-114.
1218,main rotor head vibe out of limit.          
25967,red upper centering socket worn ool. d-119          
10482,mrh accum low.
16416,mrh accumulator low.          
13740,hole in red tail rotor boot.
3894,left hand and right hand main landing gear tire pressures low.
19359,mrh accumulator low          
17596,mrh accumulator low **backfit**          
16327,black reduction gear housing (gears) internally corroded and barring snapped . card d-121.3 step 12.1          
2937,left hand out board mlg tire tread is worn out of limits          
3695,during gen underfreq check #1 eng torque was 45% higher than #2 eng.  there is also a torque split as the pcls are evenly advanced to fly. suspect lds rigging issue.          
4591,forward scissor assy is ool.          
22379,"np shadowed nr on second and third attempts to auto. after observing, we coupled back up and waved off. saw np as high as 104."
10489,worn torque stripe on aft scissor bolts
3768,wow disagree with nose sw 2 f(p) posted once with it. ts to nlg wow proximity sensor          
10410,install yellow blade fold actuator. refer to document number 8045gs43 for turn in documentation.          
1504,lh nose tire worn          
26106,remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: a221-02913;  pos cd: red          
9028,red mrh damper outboard bearing worn out of limits          
1993,verify all landing gear door rigging and perform emergency blow down bottle op check.          
2080,rh nose landing gear tire worn beyond limits          
23808,"during rotor spread, yellow blade stayed in the fold position. attamped steps as per pcl and recommended by the ae. used two different cheater boxes to finally get blade in the spread position. spread incomlete light remained on. head check was good and f"
7704,blue mrb hinge cam follower is seized. (abcd card- 23)
10791,blue damper leaking          
18225,worn red paddle abrasion strip. ool.          
7088,main rotor head accumulator low          
7981,"mrh acc low (low, 1 green)"
11442,tail rotor vibes out of limits.
3739,mrh red blade bim indicator  showing black.
4131,hole in the blue tail rotor boot. card 11.12          
12934,perform tail rotor balance          
22598,incorrect safety wire on red blade fold stop switch          
24510,black  elastomeric bearing center ring gauged ool.          
14788,"hole in tail rotor boot, blue paddle. mrc-300. card 11.12.          "
10672,abrasion strip on black tail rotor slightly disbonding.          
23771,aft main rotor head swashplate scissor assebly is worn out of limits.
22311,admin install blue pitch lock motor when directed by maint control.
10185,main rotor head hydraulic servicing low          
17798,red elastomeric bearing new shim size requires size 18 bolt.          
13955,tail rotor balance vibration out of limits.          
5171,tail rotor indexer cam broken.  part turned into m/c.
18973,main rotor head accumulator low          
8893,black blade lower center socket loose.          
23616,"black blade hinge 12 o'clock , 3:o'clock  and 8 o'clock position inserts , failed insert checks.          "
766,cut in sidewall of lh nlg tire
17409,mrh accumulator low.          
9800,mrh accumulator fluid level low          
26932,main rotor head out of limits
14104,d-121. hub insert failed run-on tq checks          
475,found rh main outboard landing gear tire is out of limits.          
21455,replace yellow main rotor blade tip cap as match set with mrh blade.  bd-95.1          
20587,forward x-pin worn beyond limits.
2738,tail rotor pitch beam corroded beyond limits          
5048,scir change:  00cfv7e.  yellow blade fold motor bad.
3741,tail rotor pitch control link jamnuts are corroded.  ref: a1-h60ca-mrc-400 card abcd-29.          
10480,red main rotor droop stop has impact damage ool. ref: a1-h60ra-mrc-400 card-d-121.2
22256,black blade bumper hardware worn
20627,main rotor head hydraulic level low.
19892,aft scissor spherical bearing ool          
27656,remove {yellow} mrb assy s/n: a237-04484 for level iii preservation. install when notified by maintenance control.
8709,main rotor head damper accumulator fluid level is low.          
761,rh mlg door strut worn          
607,red pcr torque stripe worn          
20339,perform ground vibes
99,red lower centering socket loose.          
6379,tail rotor out of limits.          
5755,main rotor head damper accum assy servicing ool.          
5044,blue blade pitch lock actuator siezed.
4897,inflight vibes 140 ool
3465,all six aircraft tire pressures low          
16911,yellow lower centering socket is loose          
1494,tail rotor vibe ool
1027,remove and inspect nlg torque tube          
3946,black and red main rotor blade lockpin switches need to be adjusted          
16773,scir change:  40b9czp.  ccdd 10sep18 all bim tabs corrodd          
153,outboard retention plate worn ool. part is under warranty          
14685,main rotor head accumulator level low.          
22923,yellow damper qd saftey wire incorrect          
3200,tail rotor boot black blade torn          
207,replace black pcr upper rod end due to damage found inside inner member.          
16149,t/r vibes ool.          
9720,mrh ool          
3857,rh nlg tire worn beyond limits          
4321,"during emergency extend test rh mlg drag strut actuator would not fully extend. recieved bad mlg strut from supply, part had no src card, all sensors have bent pins and theres excessive play in both bearings.          "
10575,main rotor head red damper inboard bearing worn out of limits.          
3433,lh nose landing gear tire preasure low.          
19856,blue tail rotor paddle pivot bearing mount bolts corroded. ac-70.3          
21983,main rotor head hyd low. at the 2nd d in add.          
5518,assist 120 by removing mrh distributor cap(beannie) to be able to perform mr rig check on jcn qg0193473 . re-install wnbmc.
20223,hole in red tail rotor boot.          
22126,blue mrh spindle upper and lower centering sockets loose.          
368,yellow blade droop stop heater showing seperation          
1520,rh inboard mlg tire is worn and needs replaced.  poc sgt aldrich          
25057,hole in black tail rotor boot          
13174,worn hardware black mrb tip cap.          
13156,mrh hyd level in the red.          
3072,main rotor head accumulator low          
20014,blue blade corroded ool          
1495,emergency landning gear blow down bottle under serviced          
25447,main rotor head accumulator in the red          
15359,main rotor damper accumulator needs to be serviced          
12616,tail rotor out of balance.          
12238,perform post phase initial ground vibration checks iaw a1-h60ca-mrc-400.          
17191,black tail rotor blade boot bridge missing.          
8545,blue tail rotor bonding wire broken
18632,red tail rotor blade boot has a puncture.          
8193,main rotor head low.
22246,magnetic pickup wiring torn.
20962,removed and replace black blade tip cap as a match set due to replacement of mrh blade refer to mcn 2e4fxx8          
8718,red inbd damper bolt failed 9-13 hr tq check          
22377,tear on the yellow tr boot.
3621,black main rotor blade bumper assembly hardware loose
