,CORRECTIVE ACTION
2266,removed and replaced rh nlg tire iaw sss 3240 pema 9964 ataf apaf aff.  
8993,serviced mrh accumulator to second green iaw gai-000 nitrogen pressor 1600 psi oat 29c. flight hours 3530.1 needs conditional. area clean secure and fod free. pema s/n 6cksa67650
5059,applied rtv to hole in yellow tail rotor boot iaw srm-000. all checks good. area fod free and secure.
4936,
3846,servicing not required iaw: gai-000. area clean and fod free. pema used: 6fksa75955  
13233,serviced mrh accumulator iaw: a1-h60ra-gai-000. hydraulics gauge high green and nitrogen gauge 1450 psi using hsu 229 and n2 bottle 017 at 22 degrees cel. aircraft flight hours 1227.9. all checks good area fod free and secure.  
12603,"serviced mrh accumulator in accordance with a1-h60ra-gai-000. hyd- 2nd green, nitrogen- 1550. oat 28c. a/c hours 1848.7. area cleaned secure, and fod free. pema s/n 8556.  "
23430,removed and replaced upper scissor bolt shims iaw 150-300. area fod free and secure.  
20818,removed and replaced the tail rotor indexer iaw 150-300. opcheck good iaw 150-200. area secure and fod free.  
268,rh nlg tire serviced iaw sss 1210 ataf apaf aff pema 67332
4445,replaced lh nlg tire iaw sss 3240 ataf apaf aff used pema 67331  
10974,removed and replaced mrh accumulator gauge iaw a1-h60ra-150-300. area secure and fod free.  
459,"adjusted tail rotor magnetic pickup gap iaw 150-300. gap measures 0.015, limit is 0.015 to 0.025. checks good. area secure and fod free.  "
5838,installed tail rotor abrasion strip iaw ref: srm-000. checks good. area secure and fod free at time of inspection.  
348,"removed and replaced l/h o/b mlg tire iaw sss 3224. ataf,apaf,aff. pema 11 was used."
3586,replaced lh nlg tire assy iaw sss 3240 ataf apaf aff  
10812,"removed and replaced bifilar absorber iaw 150-300.  reference mcn 00cdq8e and 00cdsr7 for inprocess inspections, parts ordered, and removed and installed blocks.  area secure and no fod found at time of inspection.  pema s/n 6cksa67509  "
23264,made adjustments to the tail rotor for bias being ool iaw a1-h60ra-140-300. adjustments were made to the black and yellow paddle black started at 2.7 and yellow started at 2.8. adjusted both to 3.0. area is secure and fod free. pema 48884  
13222,removed and replaced black main rotor damper iaw-15-300. area secure and fod check complete. refer to jcn:qg0023128 for 9-13 damper tq checks.  
26009,tightened red tail rotor paddle boot iaw: a1-h60ra-150-300. ietms used: 48100. ietms used: 48100. area secure and fod free.  
8364,serviced main rotor head accumulator iaw gai-000. navy class: 3 // pods sn: 00168 // hsu sn: 281// nan4b: pzn461 // hydraulics: hi green // nitrogen: 1550 // oats: 29¿c // time last serviced: 2383.7 time now: 2393.2. refer to jcn: q71212575 for conditonal
12356,tq checked yellow mrh spindle cam follower nut and applied tq stripe. tq checks good iaw 150-300. area secure and fod free at time of inspection.  
5002,
2771,removed and replaced red spindle iaw a1-h60ra-150-300.  area fod free and secure.  
8195,refer to jcn: q64260571 for removal and replacement on #1 tail rotor paddle.
27208,"cleaned, treated, and prserved with cpc type 2, and sealant iaw na 01-1a-509. area secured. fod free."
14492,"removed corrosion, cleaned treated and preserved with cpc type 2 yellow lockpin puller dogbone h/w iaw 01-1a-509 and srm-000. refer to jcn: pq4330282 for new sealant maf. area is secure and fod free."
